LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C496127,DBT50G-7.62-2P-BK-P,DORABO,"Plugin,P=7.62mm","1x2P Corner pin Barrier Block 2 1 7.62mm -40℃~+105℃ 20A 300V Black 12~22 Straight pin Plugin,P=7.62mm  Barrier Terminal Blocks ROHS",YES,10,5\5,0.2241,2.24
C2930266,FRC0805J332TS,FOJAN,805,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 3.3kΩ 0805  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0013,0.13
C471608,π160U30,2Pai Semi,SOIC-16, SOIC-16  Digital Isolators ROHS,YES,5,1\1,0.6682,3.34
C16030,MAX6675ISA+T,Analog Devices Inc./Maxim Integrated,SOIC-8,3V~5.5V 12 SPI SOIC-8  ADCs/DACs - Special Purpose ROHS,YES,12,1\1,1.0262,12.31
C5188442,MX128-2.54-02P-GN01-Cu-Y-A,MAX,"Plugin,P=2.54mm","Copper Alloy 1x2P Tin 2.54mm 1 1 2 6A -40℃~+105℃ 150V Green 18~24 Straight Plugin,P=2.54mm  Screw terminal ROHS",YES,10,5\5,0.1707,1.71
C5345965,SD103AW,HXY MOSFET,SOD-123,40V Single 350mA 600mV@200mA SOD-123  Schottky Diodes ROHS,YES,50,50\50,0.0064,0.32
C97505,SDM40E20LS-7-F,Diodes Incorporated,SOT-23,20V Dual 310mV@100mA 400mA SOT-23  Schottky Diodes ROHS,YES,5,5\5,0.0832,0.42
C706217,RT0805BRD07165RL,YAGEO,805,125mW Thin Film Resistor 150V ±25ppm/℃ ±0.1% 165Ω 0805  Chip Resistor - Surface Mount ROHS,YES,20,20\20,0.0374,0.75
C2681632,ARG05BTC2671,Viking Tech,805,125mW Thin Film Resistor 150V ±25ppm/℃ ±0.1% 2.67kΩ 0805  Chip Resistor - Surface Mount ROHS,YES,20,20\20,0.0247,0.49
C3015161,CSA0805X5R106K160MT,HRE,805,16V 10uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.01,0.5
C25278,0805W8J0100T5E,UNI-ROYAL(Uniroyal Elec),805,125mW Thick Film Resistors 150V ±5% ±200ppm/℃ 10Ω 0805  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0014,0.14
C2908614,XH-5AW,HCTL,"Push-Pull,P=2.54mm","1x5P 5P XH 1 Tin 2.54mm 5 -25℃~+85℃ Brass 3A Right-Angle Push-Pull,P=2.54mm  Wire To Board Connector ROHS",YES,50,50\50,0.0149,0.75
C5368792,2.54mm-6P WZ,SHOU HAN,"Push-Pull,P=2.5mm","1x6P 6P 1 XH Tin 2.54mm 2.54mm 6 -25℃~+85℃ Brass 3A Right-Angle Push-Pull,P=2.5mm  Wire To Board Connector ROHS",YES,20,20\20,0.0228,0.46
C7433743,HCZZ0139-8,Hong Cheng,"Push-Pull,p=2.54mm","1x8P 8P XH 1 2.54mm Tin 8 -25℃~+85℃ Brass 3A Right-Angle Push-Pull,p=2.54mm  Wire To Board Connector ROHS",YES,20,20\20,0.0282,0.56
C5360457,WAFER-XH2.54-5PJK,XUNPU,P=2.54mm,-25℃~+85℃ 2.54mm 1x5P XH 5 1 P=2.54mm  Housings (Wire To Board / Wire To Wire ) ROHS,YES,20,20\20,0.0203,0.41
C5360458,WAFER-XH2.54-6PJK,XUNPU,P=2.54mm,-25℃~+85℃ 2.54mm 1x6P XH 6 1 P=2.54mm  Housings (Wire To Board / Wire To Wire ) ROHS,YES,20,20\20,0.0242,0.48
C5360460,WAFER-XH2.54-8PJK,XUNPU,P=2.54mm,-25℃~+85℃ 2.54mm 1x8P XH 8 1 P=2.54mm  Housings (Wire To Board / Wire To Wire ) ROHS,YES,20,20\20,0.0322,0.64
C471593,π121M31,2Pai Semi,SOIC-8, SOIC-8  Digital Isolators ROHS,YES,5,1\1,0.6841,3.42
C145014,MS8628,Hangzhou Ruimeng Tech,SOP-8,3.8MHz Single SOP-8  Precision OpAmps ROHS,YES,4,1\1,0.5441,2.18
C5360473,WAFER-HA2.54-DZ,XUNPU,-, -  Housing Contact ROHS,YES,150,50\50,0.0126,1.89
C7499337,ZX-PM2.54-1-22PY,Megastar,"Plugin,P=2.54mm","2.54mm 3A Plugin Gold bronze 22P 1kV -40℃~+105℃ 260℃@5S Straight 1x22P 8.5mm Top Square Hole Plugin,P=2.54mm  Female Headers ROHS",YES,5,5\5,0.2119,1.06
C18077981,BX-ZH1.5-DZ,Bossie,-, -  Housing Contact ROHS,YES,100,100\100,0.0037,0.37
C722671,1.5-6A,CAX,"Plugin,P=1.5mm","1x6P 6P ZH 1 1.5mm 6 -25℃~+85℃ 1A Straight Plugin,P=1.5mm  Wire To Board Connector ROHS",YES,50,50\50,0.0145,0.73
C7433592,HCZZ0002-6,Hong Cheng,"Push-Pull,p=1.5mm","1x6P 6P ZH 1 Tin 1.5mm 6 -25℃~+85℃ 1A Brass Right-Angle Push-Pull,p=1.5mm  Wire To Board Connector ROHS",YES,20,20\20,0.0183,0.37
C7437192,ZH-6Y,SHOU HAN,P=1.5mm,1.5mm 1x6P ZH 6 1 P=1.5mm  Housings (Wire To Board / Wire To Wire ) ROHS,YES,50,50\50,0.0093,0.47
C108518,01550900M,Littelfuse,"SMD,5.0x9.7mm","MD,5.0x9.7mm Fuseholders ROHS",YES,8,01/01/24,0.4986,0.5
